latitude,longitude,landslide,elevation,slope,annual_rainfall,soil_clay,soil_sand,soil_ph,aspect,event_date,rainfall_24h,rainfall_3day,rainfall_7day
27.25638429,88.13612339,1,1591.0,4.4825666938201,5811.6,18.6,30.9,5.3,4.65581170564036,2007-08-02,53.7,123.3,317.3
27.2644,88.1365,1,1278.0,3.5357200721404385,5811.6,16.7,32.5,5.3,32.14124087925563,2009-08-19,34.8,151.4,346.20000000000005
27.13798514,88.15516991,1,1234.0,1.2982753857993423,7734.8,22.3,33.7,5.4,45.09556774593102,2009-08-20,111.4,163.60000000000002,369.7000000000001
27.34711035,88.17392386,1,2032.0,2.0690757628916097,4140.26,13.2,45.0,5.2,19.998010948482204,2011-06-23,19.6,48.5,160.6
27.34711035,88.17392386,1,2032.0,2.0690757628916097,4140.26,13.2,45.0,5.2,19.998010948482204,2011-06-23,19.6,48.5,160.6
27.34711035,88.17392386,1,2032.0,2.0690757628916097,4140.26,13.2,45.0,5.2,19.998010948482204,2011-06-23,19.6,48.5,160.6
27.34883031,88.18678352,1,1791.0,4.060824138748565,4140.26,13.0,46.8,5.2,20.42236057012656,2016-07-30,25.8,70.8,349.6
27.13862165,88.22551799,1,843.0,3.2260140851159727,4153.26,18.8,34.8,5.2,195.6259769779172,2011-08-23,32.8,72.3,437.8
27.28329478,88.23595536,1,1318.0,6.608795579368408,5811.6,17.1,34.1,5.4,89.01878217294188,2011-06-23,19.6,48.5,160.6
27.28329478,88.23595536,1,1318.0,6.608795579368408,5811.6,17.1,34.1,5.4,89.01878217294188,2011-06-23,19.6,48.5,160.6
27.3425,88.2426,1,1382.0,7.931464854472404,3268.68,19.1,34.9,5.2,103.61842471685968,2013-09-01,35.4,54.1,126.4
27.2879,88.2579,1,1518.0,6.71363568560225,3268.68,19.1,33.2,5.4,84.7819833147887,2011-06-23,19.6,48.5,160.6
27.2872,88.2816,1,574.0,4.036694283341001,3654.7,19.2,37.5,5.4,356.41760811962246,2007-09-18,3.0,19.1,45.800000000000004
27.2676,88.2891,1,573.0,0.7662474936668433,3654.7,19.7,32.4,5.2,335.75641379707787,2016-10-12,121.6,142.5,194.8
