latitude,longitude,landslide,elevation,slope,annual_rainfall,soil_clay,soil_sand,soil_ph,aspect
27.25638429,88.13612339,1,1591.0,4.4825666938201,5811.6,18.6,30.9,5.3,4.65581170564036
27.2644,88.1365,1,1278.0,3.5357200721404385,5811.6,16.7,32.5,5.3,32.14124087925563
27.13798514,88.15516991,1,1234.0,1.2982753857993423,7734.8,22.3,33.7,5.4,45.09556774593102
27.34711035,88.17392386,1,2032.0,2.0690757628916097,4140.26,13.2,45.0,5.2,19.998010948482204
27.34711035,88.17392386,1,2032.0,2.0690757628916097,4140.26,13.2,45.0,5.2,19.998010948482204
27.34711035,88.17392386,1,2032.0,2.0690757628916097,4140.26,13.2,45.0,5.2,19.998010948482204
27.34883031,88.18678352,1,1791.0,4.060824138748565,4140.26,13.0,46.8,5.2,20.422360570126557
27.13862165,88.22551799,1,843.0,3.2260140851159727,4153.26,18.8,34.8,5.2,195.62597697791713
27.28329478,88.23595536,1,1318.0,6.608795579368408,5811.6,17.1,34.1,5.4,89.01878217294188
27.28329478,88.23595536,1,1318.0,6.608795579368408,5811.6,17.1,34.1,5.4,89.01878217294188
27.3425,88.2426,1,1382.0,7.931464854472404,3268.68,19.1,34.9,5.2,103.61842471685969
27.2879,88.2579,1,1518.0,6.71363568560225,3268.68,19.1,33.2,5.4,84.7819833147887
27.2872,88.2816,1,574.0,4.036694283341001,3654.7,19.2,37.5,5.4,356.41760811962246
27.2676,88.2891,1,573.0,0.7662474936668433,3654.7,19.7,32.4,5.2,335.75641379707787
27.1667,88.35,1,1162.0,1.1646953254133432,4040.900000000001,16.7,33.6,5.2,201.7364419316961
27.16551929,88.36456702,1,1444.0,5.202214920691665,4040.900000000001,19.8,33.3,5.4,70.5035633001578
27.1675,88.3651,1,1551.0,5.0804665357104,4040.900000000001,19.6,34.9,5.4,70.98221953612284
27.167,88.3652,1,1516.0,5.119720432275355,4040.900000000001,19.8,33.3,5.4,70.7905014537472
27.1695,88.3664,1,1576.0,5.0417122047594845,4040.900000000001,20.1,35.1,5.3,71.67217996022481
27.1499,88.38,1,1099.0,5.2771174295673084,3733.16,19.7,35.0,5.3,72.52081488986994
27.28709076,88.38035955,1,1392.0,5.422580600051496,3564.26,18.7,31.4,5.2,150.48440410796297
